Symbol,Exchange,Industry (Sector),Subgroup (Theme),Sub-industry,Source Symbol,Match Type,ISIN,Company Name,Primary Company Name
534312.BO,XBOM,PROFESSIONAL SERVICES,Education & EdTech,Education Companies,MTEDUCARE,bse_security_id,INE472M01018,MT Educare Limited,MT EDUCARE LIMITED
534328.BO,XBOM,BANKING & FINANCIAL SERVICES,Investment & Holding,Investment Company Companies,HEXATRADEX,primary_local,INE750M01017,Hexa Tradex,Hexa Tradex Limited
534369.BO,XBOM,Lifestyle & Retail,Jewellery,"Gems, Jewellery And Watches Companies",TBZ,primary_local,INE760L01018,T B Z,Tribhovandas Bhimji Zaveri Limited
534392.BO,XBOM,METALS & MINING,Iron & Steel Products,Iron & Steel Products Companies,VSSL,primary_local,INE050M01012,Vardhman Special,Vardhman Special Steels Limited
534425.BO,XBOM,TRAVEL & HOSPITALITY,Quick Service Rest. (QSR),Restaurants Companies,SPECIALITY,primary_local,INE247M01014,Speciality Rest.,Speciality Restaurants Limited
534532.BO,XBOM,Lifestyle & Retail,Jewellery,"Gems, Jewellery And Watches Companies",LYPSAGEMS,primary_local,INE142K01011,Lypsa Gems & Jewellery Limited,Lypsa Gems & Jewellery Limited
534535.BO,XBOM,INFORMATION TECHNOLOGY & TECHNOLOGY,IT Enabled Services (BPM),IT Enabled Services Companies,534535,primary_local,INE958L01026,String Metaverse,STRING METAVERSE LIMITED
534597.BO,XBOM,INFORMATION TECHNOLOGY & TECHNOLOGY,Consumer E-Retail,E-Retail/ E-Commerce Companies,RTNINDIA,primary_local,INE834M01019,RattanIndia Ent,RattanIndia Enterprises Limited
534598.BO,XBOM,INDUSTRIAL COMPONENTRY,Industrial Rubber,Rubber Companies,SAMPANN,primary_local,INE735M01018,Sampann Utpadan,Sampann Utpadan India Limited
534600.BO,XBOM,METALS & MINING,Iron & Steel Products,Iron & Steel Products Companies,JTLIND,primary_local,INE391J01032,JTL Industries,JTL INDUSTRIES LIMITED
534615.BO,XBOM,Logistics & Trans,Logistics,Logistics Solution Provider Companies,NECCLTD,primary_local,INE553C01016,North Eastern Carrying Corporation Limited,North Eastern Carrying Corporation Limited
534618.BO,XBOM,"ENERGY, OIL & GAS",Solar & Renewables,Other Electrical Equipment Companies,WAAREERTL,primary_local,INE299N01021,Waaree Renewab.,Waaree Renewable Technologies Limited
534623.BO,XBOM,INFORMATION TECHNOLOGY & TECHNOLOGY,Recruitment & Classifieds,Internet & Catalogue Retail Companies,534623,primary_local,INE524N01014,Jupiter Info.,Jupiter Infomedia Limited
534674.BO,XBOM,INFORMATION TECHNOLOGY & TECHNOLOGY,IT Services (Consulting),Computers - Software & Consulting Companies,DUCON,bse_security_id,INE741L01018,Ducon Infratechnologies Limited,Ducon Infratechnologies Limited
534675.BO,XBOM,Real Estate Segments,Commercial & Diversified,Real Estate Companies,PROZONER,primary_local,INE195N01013,Prozone Realty Limited,Prozone Realty Limited
534680.BO,XBOM,BANKING & FINANCIAL SERVICES,Housing Finance,Housing Finance Company Companies,SRGHFL,primary_local,INE559N01010,SRG Housing,SRG Housing Finance Limited
534708.BO,XBOM,Lifestyle & Retail,Hypermarkets & Dept. Stores,Diversified Retail Companies,534708,primary_local,INE892L01019,Shanti Guru Inds,SHANTI GURU INDUSTRIES LIMITED
534741.BO,XBOM,PROFESSIONAL SERVICES,Education & EdTech,Education Companies,534741,primary_local,INE247C01023,Virtual Global,VIRTUAL GLOBAL EDUCATION LTD.
534742.BO,XBOM,Agri Business,Fertilizers,Fertilizers Companies,ZUARI,primary_local,INE840M01016,Zuari Agro Chem.,Zuari Agro Chemicals Limited
534748.BO,XBOM,METALS & MINING,Iron & Steel Core,Iron & Steel Companies,STEELXIND,primary_local,INE503B01021,STEEL EXCHANGE INDIA LIMITED,STEEL EXCHANGE INDIA LIMITED
